,title,company,salary,type
0,Python Developer | Freshers Can Also Apply,VR INFOTECH," 
Looking for immediate to 15 days joiners.
Experience with data mining and web scraping (preferred choice).
Experience with the Django and Python framework.
Looking for immediate to 15 days joiners.Experience with data mining and web scraping (preferred choice).Experience with the Django and Python framework.Python","₹10,737 - ₹43,682 a month"
1,Python/Django Developer,Idea2code Infotech," 
Coordinating with front-end developers.
Writing scalable code using Python programming language.
Integrating user-facing elements using server-side logic.
Coordinating with front-end developers.Writing scalable code using Python programming language.PythonIntegrating user-facing elements using server-side logic.","₹20,000 - ₹50,000 a month"
2,Python Developer,VR INFOTECH," 
Looking for immediate to 15 days joiners.
Experience with the Django and Python framework.
React.js knowledge would be an added bonus.
Looking for immediate to 15 days joiners.Experience with the Django and Python framework.PythonReact.js knowledge would be an added bonus.","₹15,000 - ₹30,000 a month"
3,Python Developer,Elite Technocrats," 
Hands-on experience of Web Frameworks such as Django, Flask or FastAPI.
Must have knowledge of SQL & RDBMS.
Proficient understanding of code versioning tools.
Hands-on experience of Web Frameworks such as Django, Flask or FastAPI.Must have knowledge of SQL & RDBMS.Proficient understanding of code versioning tools.",
4,Python Developer,Opash Software," 
Writing effective and scalable Python codes*.
Designing and implementing robust applications.
Debugging applications to ensure low-latency and high-availability…
Writing effective and scalable Python codes*.PythonDesigning and implementing robust applications.Debugging applications to ensure low-latency and high-availability…","₹1,40,439 - ₹5,62,217 a year"
5,Python/Django Developer,Zillion Infotech," 
Basic understanding of Core Python and Basic knowledge for framework of Python such as Django or other Python frameworks along with other common libraries.
Basic understanding of Core Python and Basic knowledge for framework of Python such as Django or other Python frameworks along with other common libraries.PythonPythonPython","₹2,00,000 a year"
6,Python Developer,Terabits Technolab," 
Good programming skills and good problem-solving and debugging skills in python.
We are looking for experienced Odoo Developers with good development skills in…
Good programming skills and good problem-solving and debugging skills in python.We are looking for experienced Odoo Developers with good development skills in…Developers",Full-time
7,Python/Django Developer,Drjoy.in consultant pvt. ltd.," 
Python/Django, and knowledge of MVT, MVC.
Good knowledge of databases like SQL, MySQL, Postgresql etc.,.
JQuery, Ajax, Curl, API integration,.
Python/Django, and knowledge of MVT, MVC.Good knowledge of databases like SQL, MySQL, Postgresql etc.,.JQuery, Ajax, Curl, API integration,.","₹1,20,000 - ₹3,60,000 a year"
8,Python Developer,Buzzing Soft," 
Here are some of the skills that are a must to become an efficient developer in Python.
Communication skills – effective and amicable communication between…
Here are some of the skills that are a must to become an efficient developer in Python.developerCommunication skills – effective and amicable communication between…","₹4,50,000 - ₹8,00,000 a year"
9,Trainee AIML(Python) Developer,Narola Infotech, ,
10,Python/Django Developer,Globalia Soft LLP," 
Coordinating with front-end developers.
6 month-4 years of experience as a Python developer.
We are looking for an experienced Python developer to join our…
Coordinating with front-end developers.6 month-4 years of experience as a Python developer.PythonWe are looking for an experienced Python developer to join our…Pythondeveloper","₹15,000 - ₹50,000 a month"
11,Python Developer,Dealbox," 
Python Developer (0-1year Exp.).
Hands-on experience of Web Frameworks such as Django, Flask or FastAPI.
Previous working experience as a Python Developer for 1…
Python Developer (0-1year Exp.).DeveloperHands-on experience of Web Frameworks such as Django, Flask or FastAPI.Previous working experience as a Python Developer for 1…PythonDeveloper","₹8,000 - ₹20,000 a month"
12,Python Developer,crestinfosystems," 
Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.
Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.Developer",Full-time
13,Python Developer,Key Concepts IT Service," 
Develop back-end components to improve responsiveness and overall performance.
Integrate user-facing elements into applications.
Develop back-end components to improve responsiveness and overall performance.Integrate user-facing elements into applications.",
14,Software Engineer (Python),Zebra Learn pvt. ltd.," 
Develops and enhance software application through coding and testing.
Work closely with a distributed team of engineers on design and specs of feature.
Develops and enhance software application through coding and testing.Work closely with a distributed team of engineers on design and specs of feature.","₹20,000 a month"
15,Python Developer (Web Scrapping),TransForm Solutions (P) Limited," 
As a focused Data Engineer / Python Developer, you will be responsible for extracting and ingesting data from websites using web crawling tools.
As a focused Data Engineer / Python Developer, you will be responsible for extracting and ingesting data from websites using web crawling tools.PythonDeveloper","₹30,000 - ₹50,000 a month"
16,Python Developer,Keypress IT Services," 
Job Types: Full-time, Regular / Permanent.
Software Development Occupations: 1 year (Preferred).
Total work: 1 year (Preferred).
Job Types: Full-time, Regular / Permanent.Software Development Occupations: 1 year (Preferred).Total work: 1 year (Preferred).","₹11,579 - ₹39,344 a month"
17,Sr. Python Developer,Cloud4code IT Solutions Pvt. Ltd.," 
Excellent communication and problem-solving skills.
Proficient understanding of code versioning tools.
Security background or basic 101 type understanding.
Excellent communication and problem-solving skills.Proficient understanding of code versioning tools.Security background or basic 101 type understanding.","₹30,000 - ₹50,000 a month"
18,Python Developer,Crest Infosystems Pvt. Ltd.," 
Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.
Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.Developer","₹30,000 - ₹75,000 a month"
19,Python Developer,Tekpillar," 
Writing effective and scalable Python codes.
Designing and implementing robust applications.
Debugging applications to ensure low-latency and high-availability.
Writing effective and scalable Python codes.PythonDesigning and implementing robust applications.Debugging applications to ensure low-latency and high-availability.","₹15,000 - ₹40,000 a month"
20,Junior Software Developer-python,HireMee," 
Collaborate with the team to brainstorm and create new products.
Working directly with the product team to bring our product to the top.
Collaborate with the team to brainstorm and create new products.Working directly with the product team to bring our product to the top.",Full-time
21,Software Developer,BlueBricks Pvt. Ltd.," 
Participating in the design and creation of scalable software.
Writing clean, functional code on the front- and back-end.
Total work: 1 year (Preferred).
Participating in the design and creation of scalable software.Writing clean, functional code on the front- and back-end.Total work: 1 year (Preferred).","₹40,000 a month"
22,Full stack python developer,Broader Ai," 
Candidate should have enough knowledge of python, database,frontend , backend ,web design , web development and also have uniqueness in there work or ideas.also…
Candidate should have enough knowledge of python, database,frontend , backend ,web design , web development and also have uniqueness in there work or ideas.also…python","₹1,50,000 - ₹2,50,000 a year"
23,MEAN Stack Developers,Scalelot Technology," 
Our passion for developing solutions helps to achieve our goals year after year.
Managing the complete software development process from conception to…
Our passion for developing solutions helps to achieve our goals year after year.Managing the complete software development process from conception to…","₹15,000 - ₹50,000 a month"
24,Python Developer,Tagline Infotech," 
Front-End Technologies Knowledge.
Knowledge of User Authorization and Authentication.
Experience with MySQL, Postgres, SQLite for database connections.
Front-End Technologies Knowledge.Knowledge of User Authorization and Authentication.Experience with MySQL, Postgres, SQLite for database connections.",
25,Python Developer / Data Engineer / Web Scrapper 2+ Years Sur...,Transform Solution," 
As a focused Data Engineer / Python Developer, you will be responsible for extracting and ingesting data from websites using web crawling tools.
As a focused Data Engineer / Python Developer, you will be responsible for extracting and ingesting data from websites using web crawling tools.PythonDeveloper",Full-time
26,Backend Developer,SHC TECH," 
Programming: *C/C++, Python, Core Java, NodeJS, jQuery.
Web*: HTML/CSS/JavaScript, Bootstrap, MaterialUI.
Database*: Mando DB, FireBase, SQL, Oracale.
Programming: *C/C++, Python, Core Java, NodeJS, jQuery.PythonWeb*: HTML/CSS/JavaScript, Bootstrap, MaterialUI.Database*: Mando DB, FireBase, SQL, Oracale.","₹6,00,000 - ₹9,00,000 a year"
27,"Back-end Developer (Python, MongoDB, AWS)",EnactOn Technologies," 
The developer will be tasked with exploring new NFTs and integrating them into our NFT portfolio management platform.
Creative and efficient problem solver.
The developer will be tasked with exploring new NFTs and integrating them into our NFT portfolio management platform.developerCreative and efficient problem solver.","₹4,80,000 - ₹18,00,000 a year"
28,Full Stack Developer (Apply only interested in SURAT locatio...,WRT Infotech," 
The ideal candidate possesses a passion for writing and innovative ability to create successful campaigns and aid in creating company growth.
The ideal candidate possesses a passion for writing and innovative ability to create successful campaigns and aid in creating company growth.","₹8,195 - ₹40,465 a month"
29,Blockchain Developer,ELaunch Solution Pvt. Ltd.," 
Advanced proficiency in programming languages, such as C++, Java, and Python.
Extensive experience in back-end development, algorithms, and data structures.
Advanced proficiency in programming languages, such as C++, Java, and Python.Extensive experience in back-end development, algorithms, and data structures.","₹55,000 a month"
30,"Industrial Training (MVC, Asp .NET, Python, Flutter)",Key Concepts IT Service," 
On the job training under supervision of Experienced Senior developers will be provided.
Programming languages (different types of developer role require…
On the job training under supervision of Experienced Senior developers will be provided.developersProgramming languages (different types of developer role require…developer",Internship
31,Backend Developer | Node | Python | 1 – 3 Year(S) Exp.,Inventam Tech Solution ( OPC )," 
Node JS ( With Express / Hapi / Loopbak).
It will be an advantage if you have knowledge of AWS S3, EC2, EBS, Lamda, GCloud, Firebase, Redis, LevelDB, GraphQL,…
Node JS ( With Express / Hapi / Loopbak).It will be an advantage if you have knowledge of AWS S3, EC2, EBS, Lamda, GCloud, Firebase, Redis, LevelDB, GraphQL,…",Full-time
32,Tailwind Developer,Xcodethemes," 
At least 3+ years of software development experience using Laravel and TailwindCSS (rare exceptions for highly skilled developers).
At least 3+ years of software development experience using Laravel and TailwindCSS (rare exceptions for highly skilled developers).","₹11,721 - ₹50,000 a month"
33,DevOps Engineer,IAMOPS | DevOps Teams for StartUps," 
Cooperate with developers and infrastructure teams to ensure highly available and scalable production systems.
Improving and enhancing our monitoring solutions.
Cooperate with developers and infrastructure teams to ensure highly available and scalable production systems.developersImproving and enhancing our monitoring solutions.",Full-time
34,Web Developer (Python),Bold Business," 
Collaborate with other developers, testers, engineers located onsite & offsite.
The ideal candidate will be a seasoned developer, well versed in server-side…
Collaborate with other developers, testers, engineers located onsite & offsite.developersThe ideal candidate will be a seasoned developer, well versed in server-side…developer",Full-time
35,Python Developer,TIGI HR SOLUTION," 
Expert in Python scraping or Python web framework {such as Django is must, Flask or odoo }.
Familiarity with some ORM (Object Relational Mapper) libraries.
Expert in Python scraping or Python web framework {such as Django is must, Flask or odoo }.PythonPythonFamiliarity with some ORM (Object Relational Mapper) libraries.","₹60,000 a month"
36,Python Developer,Naman Staffing," 
Coordinating with front-end developers.
Coordinating with development teams to determine application requirements.
Hands-on experience with Django, Flask.
Coordinating with front-end developers.Coordinating with development teams to determine application requirements.Hands-on experience with Django, Flask.",
37,Backend Developer,Themes Brand," 
Degree in Computer Science or related field.
Strong expertise with Laravel and NodeJs.
Good communication skill in English will be plus point.
Degree in Computer Science or related field.Strong expertise with Laravel and NodeJs.Good communication skill in English will be plus point.",
38,Odoo Backend Developer,Terabits Technolab," 
We are looking for an efficient technocrat as Odoo Backend Developer, who will be responsible for developing, customizing Odoo ERP business applications with…
We are looking for an efficient technocrat as Odoo Backend Developer, who will be responsible for developing, customizing Odoo ERP business applications with…Developer",Full-time
39,Angular Developer,KNOXPO," 
The ideal candidate must have demonstrable experience building business-oriented solutions and have a good understanding of Modern Web Development stack (CSS3,…
The ideal candidate must have demonstrable experience building business-oriented solutions and have a good understanding of Modern Web Development stack (CSS3,…","₹8,00,000 - ₹12,00,000 a year"
40,Backend Developer - PHP/Python/Ruby or Rails/NodeJs,Propelius Technologies," 
Writing complex SQL queries/good with ORMs.
Familiar with Redis or Equivalent caching technology.
Experience with AWS/Digital Ocean/Azure/Google cloud is a plus…
Writing complex SQL queries/good with ORMs.Familiar with Redis or Equivalent caching technology.Experience with AWS/Digital Ocean/Azure/Google cloud is a plus…",Full-time
41,Odoo Back-End Developer,Terabits," 
We are looking for an efficient technocrat as Odoo Backend Developer, who will be responsible for developing, customizing Odoo ERP business applications with…
We are looking for an efficient technocrat as Odoo Backend Developer, who will be responsible for developing, customizing Odoo ERP business applications with…Developer",
42,IT DEVELOPERS,Royal Staffing Services," 
Full Stack JS Developer.
Qualification: IT Field (Bca/Mca/Bsc/Msc/Btech/Mtech/Diploma in IT etc).
Full Stack JS Developer.Qualification: IT Field (Bca/Mca/Bsc/Msc/Btech/Mtech/Diploma in IT etc).","₹10,000 - ₹40,000 a month"
